Timestamp,Combined Value1,Combined Value2
1746808136380684,16424,8830
1746808136380684,4,3254
1746808136380684,30436,15789
1746808136380684,0,4510
1746808136380684,16391,8807
1746808136380684,2,3222
1746808136380684,30416,15781
1746808136380684,0,4490
1746808136380684,16421,8824
1746808136380684,5,3243
1746808136380684,30372,15723
1746808136380684,0,4415
1746808136380684,16388,8806
1746808136380684,3,3201
1746808136387755,30370,15742
1746808136401893,0,4416
1746808136416031,16394,8809
1746808136430169,0,3228
1746808136444307,30447,15808
1746808136458445,0,4536
1746808136472583,16391,8800
1746808136486721,2,3221
1746808136500859,30443,15805
1746808136514997,0,4548
1746808136529135,16402,8824
1746808136543273,0,3243
1746808136557411,30431,15789
1746808136571549,0,4525
1746808136581559,16414,8830
1746808136587397,1,3234
1746808136593235,30290,15662
1746808136599073,0,4291
1746808136604911,16391,8794
1746808136610749,0,3203
1746808136616587,30418,15775
1746808136622425,0,4506
1746808136628263,16404,8814
1746808136634101,0,3238
1746808136639939,30476,15836
1746808136645777,0,4574
1746808136651615,16412,8808
1746808136657453,5,3231
1746808136660372,30389,15737
1746808136660372,0,4411
1746808136660372,16412,8820
1746808136660372,0,3224
1746808136660372,30443,15805
1746808136660372,0,4534
1746808136660372,16416,8818
1746808136660372,0,3261
1746808136660372,30457,15809
1746808136660372,0,4556
1746808136660372,16403,8814
1746808136660372,0,3238
1746808136660372,30386,15744
1746808136660372,0,4464
1746808136660411,16414,8821
1746808136660483,2,3249
1746808136660555,30432,15780
1746808136660627,0,4522
1746808136660699,16416,8819
1746808136660771,1,3231
1746808136660843,30382,15735
1746808136660915,0,4435
1746808136660987,16403,8823
1746808136661059,2,3224
1746808136661131,30462,15814
1746808136661203,0,4551
1746808136661275,16413,8815
1746808136661347,0,3252
1746808136664737,30374,15744
1746808136671433,0,4454
1746808136678129,16391,8803
1746808136684825,4,3220
1746808136691521,30412,15786
1746808136698217,0,4511
1746808136704913,16414,8821
1746808136711609,4,3241
1746808136718305,30408,15761
1746808136725001,0,4476
1746808136731697,16397,8820
1746808136738393,0,3228
1746808136745089,30368,15738
1746808136751785,0,4437
1746808136755133,30413,15780
1746808136755133,0,4517
1746808136755133,16397,8814
1746808136755133,0,3219
1746808136755133,30391,15775
1746808136755133,0,4489
1746808136755133,16383,8803
1746808136755133,0,3205
1746808136755133,30364,15740
1746808136755133,0,4441
1746808136755133,16396,8802
1746808136755133,0,3222
1746808136755133,30432,15791
1746808136755133,0,4499
1746808136769799,16412,8824
1746808136799125,1,3262
1746808136828451,30413,15772
1746808136857777,0,4495
1746808136887103,16381,8809
1746808136916429,0,3223
1746808136945755,30398,15766
1746808136975081,0,4500
1746808137004407,16412,8820
1746808137033733,0,3238
1746808137063059,30375,15736
1746808137092385,0,4451
1746808137121711,16385,8801
1746808137151037,0,3220
1746808137173784,30401,15774
1746808137189942,0,4459
1746808137206100,16415,8813
1746808137222258,2,3251
1746808137238416,30346,15698
1746808137254574,0,4357
1746808137270732,16412,8817
1746808137286890,3,3244
1746808137303048,30387,15758
1746808137319206,0,4434
1746808137335364,16403,8816
1746808137351522,0,3224
1746808137367680,30358,15717
1746808137383838,0,4394
1746808137399500,30440,15803
1746808137414642,0,4544
1746808137429784,16401,8809
1746808137444926,2,3219
1746808137460068,30401,15769
1746808137475210,0,4480
1746808137490352,16401,8811
1746808137505494,1,3233
1746808137520636,30394,15757
1746808137535778,0,4477
1746808137550920,16406,8830
1746808137566062,0,3236
1746808137581204,30496,15849
1746808137596346,0,4636
1746808137611588,30417,15789
1746808137626890,0,4517
1746808137642192,16412,8824
1746808137657494,0,3244
1746808137672796,30391,15744
1746808137688098,0,4459
1746808137703400,16393,8809
1746808137718702,0,3216
1746808137734004,30428,15785
1746808137749306,0,4528
1746808137764608,16394,8804
1746808137779910,2,3233
1746808137795212,30383,15738
1746808137810514,0,4444
1746808137821737,16410,8829
1746808137828837,2,3256
1746808137835937,30360,15738
1746808137843037,0,4434
1746808137850137,16419,8820
1746808137857237,0,3247
1746808137864337,30344,15713
1746808137871437,0,4398
1746808137878537,16392,8804
1746808137885637,0,3207
1746808137892737,30317,15670
1746808137899837,0,4306
1746808137906937,16400,8818
1746808137914037,4,3235
1746808137917587,30364,15726
1746808137917587,0,4421
1746808137917587,16408,8819
1746808137917587,0,3242
1746808137917587,30403,15770
1746808137917587,0,4489
1746808137917587,16391,8804
1746808137917587,0,3207
1746808137917587,30411,15774
1746808137917587,0,4489
1746808137917587,16391,8810
1746808137917587,0,3224
1746808137917587,30393,15755
1746808137917587,0,4471
1746808137917587,30380,15728
1746808137917587,0,4440
1746808137917587,16409,8815
1746808137917587,2,3236
1746808137917587,30428,15801
1746808137917587,0,4516
1746808137917587,16403,8815
1746808137917587,1,3218
1746808137917587,30399,15756
1746808137917587,0,4459
1746808137917587,16400,8810
1746808137917587,0,3238
1746808137917587,30427,15786
1746808137917587,0,4512
1746808137927297,16399,8811
1746808137946677,2,3227
1746808137966057,30380,15757
1746808137985437,0,4474
1746808138004817,16399,8809
1746808138024197,0,3223
1746808138043577,30407,15776
1746808138062957,0,4509
1746808138082337,16407,8827
1746808138101717,0,3261
1746808138121097,30379,15749
1746808138140477,0,4446
1746808138159857,16401,8820
1746808138179237,1,3226
1746808138188981,30411,15775
1746808138189051,0,4479
1746808138189121,16406,8813
1746808138189191,0,3230
1746808138189261,30354,15727
1746808138189331,0,4416
1746808138189401,16401,8820
1746808138189471,0,3235
1746808138189541,30417,15785
1746808138189611,0,4510
1746808138189681,16397,8817
1746808138189751,4,3215
1746808138189821,30340,15719
1746808138189891,0,4413
1746808138189926,16409,8831
1746808138189926,3,3254
1746808138189926,30362,15732
1746808138189926,0,4445
1746808138189926,16409,8810
1746808138189926,0,3224
1746808138189926,30402,15755
1746808138189926,0,4471
1746808138189926,16407,8807
1746808138189926,1,3231
1746808138189926,30404,15761
1746808138189926,0,4493
1746808138189926,16399,8810
1746808138189926,1,3212
1746808138197253,16412,8821
1746808138211863,0,3230
1746808138226473,30389,15766
1746808138241083,0,4478
1746808138255693,16409,8818
1746808138270303,0,3247
1746808138284913,30402,15773
1746808138299523,0,4476
1746808138314133,16402,8809
1746808138328743,3,3230
1746808138343353,30399,15758
1746808138357963,0,4435
1746808138372573,16425,8831
1746808138387183,5,3253
1746808138399114,30400,15761
1746808138408354,0,4446
1746808138417594,16397,8812
1746808138426834,1,3225
1746808138436074,30355,15725
1746808138445314,0,4409
1746808138454554,16399,8814
1746808138463794,0,3222
1746808138473034,30325,15703
1746808138482274,0,4352
1746808138491514,16398,8802
1746808138500754,0,3230
1746808138509994,30405,15772
1746808138519234,0,4485
1746808138523854,16389,8809
1746808138523854,1,3222
1746808138523854,30405,15787
1746808138523854,0,4492
1746808138523854,16390,8808
1746808138523854,0,3216
1746808138523854,30382,15740
1746808138523854,0,4431
1746808138523854,16404,8813
1746808138523854,0,3221
1746808138523854,30373,15729
1746808138523854,0,4441
1746808138523854,16388,8804
1746808138523854,0,3196
1746808138523854,30400,15765
1746808138523854,0,4481
1746808138523854,16386,8802
1746808138523854,0,3210
1746808138523854,30365,15738
1746808138523854,0,4430
1746808138523854,16405,8816
1746808138523854,0,3229
1746808138523854,30336,15712
1746808138523854,0,4389
1746808138523854,16408,8823
1746808138523854,0,3228
1746808138523854,30488,15843
1746808138523854,0,4609
1746808138523854,16408,8819
1746808138523854,1,3240
1746808138523854,30380,15744
1746808138523854,0,4429
1746808138523854,16401,8811
1746808138523854,0,3219
1746808138523854,30379,15755
1746808138523854,0,4488
1746808138523854,16397,8811
1746808138523854,0,3213
1746808138523854,30400,15771
1746808138523854,0,4468
1746808138523854,16406,8824
1746808138523854,2,3227
1746808138523854,16403,8817
1746808138523854,0,3232
1746808138523854,30368,15733
1746808138523854,0,4429
1746808138523854,16390,8807
1746808138523854,0,3214
1746808138523854,30390,15762
1746808138523854,0,4490
1746808138523854,16390,8810
1746808138523854,1,3235
1746808138523854,30379,15765
1746808138523854,0,4460
1746808138523854,16410,8831
1746808138523854,4,3263
1746808138527420,30401,15771
1746808138534528,0,4477
1746808138541636,16393,8806
1746808138548744,0,3218
1746808138555852,30387,15748
1746808138562960,0,4447
1746808138570068,16393,8803
1746808138577176,0,3224
1746808138584284,30423,15797
1746808138591392,0,4547
1746808138598500,16405,8811
1746808138605608,3,3249
1746808138612716,30372,15756
1746808138619824,0,4450
1746808138645537,16414,8827
1746808138689825,5,3254
1746808138734113,30409,15780
1746808138778401,0,4501
1746808138822689,16416,8816
1746808138866977,4,3249
1746808138911265,30423,15780
1746808138955553,0,4494
1746808138999841,16420,8819
1746808139044129,0,3247
1746808139088417,30400,15774
1746808139132705,0,4464
1746808139176993,16414,8826
1746808139221281,0,3252
1746808139243425,30372,15739
1746808139243425,0,4446
1746808139243425,16393,8812
1746808139243425,0,3231
1746808139243425,30406,15763
1746808139243425,0,4470
1746808139243425,16412,8815
1746808139243425,0,3242
1746808139243425,30413,15776
1746808139243425,0,4493
1746808139243425,16410,8817
1746808139243425,1,3241
1746808139243425,30425,15792
1746808139243425,0,4533
1746808139243425,16414,8814
1746808139243425,0,3217
1746808139243425,30377,15727
1746808139243425,0,4421
1746808139243425,16406,8826
1746808139243425,6,3259
1746808139243425,30440,15799
1746808139243425,0,4545
1746808139243425,16412,8822
1746808139243425,3,3257
1746808139243425,30356,15722
1746808139243425,0,4411
1746808139243425,16389,8810
1746808139243425,0,3226
1746808139243425,30413,15782
1746808139243425,0,4523
1746808139243425,16397,8808
1746808139243425,0,3232
1746808139243425,30400,15775
1746808139243425,0,4493
1746808139243425,16400,8814
1746808139243425,1,3234
1746808139243425,30403,15749
1746808139243425,0,4452
1746808139243425,16408,8815
1746808139243425,1,3234
1746808139243425,30380,15764
1746808139243425,0,4468
1746808139243485,16404,8819
1746808139243555,2,3233
1746808139243625,30445,15815
1746808139243695,0,4557
1746808139243765,16399,8816
1746808139243835,4,3243
1746808139243905,30382,15744
1746808139243975,0,4450
1746808139244045,16399,8811
1746808139244115,5,3239
1746808139244185,30411,15779
1746808139244255,0,4503
1746808139244325,16400,8809
1746808139244395,0,3215
1746808139244430,30399,15757
1746808139244430,0,4467
1746808139244430,16400,8819
1746808139244430,5,3252
1746808139244430,30402,15764
1746808139244430,0,4465
1746808139244430,16422,8822
1746808139244430,5,3244
1746808139244430,30378,15736
1746808139244430,0,4428
1746808139244430,16402,8802
1746808139244430,1,3219
1746808139244430,30367,15738
1746808139244430,0,4414
1746808139244430,16404,8818
1746808139244430,0,3226
1746808139244430,30371,15726
1746808139244430,0,4398
1746808139244430,16394,8815
1746808139244430,0,3227
1746808139244430,30401,15773
1746808139244430,0,4475
1746808139244430,16389,8801
1746808139244430,0,3219
1746808139244430,30400,15776
1746808139244430,0,4501
1746808139244430,16409,8814
1746808139244430,0,3243
1746808139244430,16393,8808
1746808139244430,2,3214
1746808139244430,30409,15782
1746808139244430,0,4489
1746808139244430,16400,8814
1746808139244430,2,3230
1746808139244430,30363,15730
1746808139244430,0,4424
1746808139244430,16402,8811
1746808139244430,1,3221
1746808139244430,30395,15766
1746808139244430,0,4475
1746808139244430,16392,8810
1746808139244430,2,3242
1746808139254289,30402,15756
1746808139273987,0,4456
1746808139293685,16392,8804
1746808139313383,0,3221
1746808139333081,30412,15764
1746808139352779,0,4484
1746808139372477,16411,8818
1746808139392175,0,3245
1746808139411873,30415,15781
1746808139431571,0,4508
1746808139451269,16400,8811
1746808139470967,0,3210
1746808139490665,30405,15771
1746808139510363,0,4480
1746808139520272,16406,8820
1746808139520342,1,3240
1746808139520412,30399,15774
1746808139520482,0,4479
1746808139520552,16406,8817
1746808139520622,3,3243
1746808139520692,30358,15740
1746808139520762,0,4427
1746808139520832,16405,8808
1746808139520902,0,3220
1746808139520972,30435,15796
1746808139521042,0,4515
1746808139521112,16396,8809
1746808139521182,0,3220
1746808139521217,30431,15785
1746808139521217,0,4518
1746808139521217,16411,8824
1746808139521217,2,3242
1746808139521217,30381,15756
1746808139521217,0,4455
1746808139521217,16405,8823
1746808139521217,1,3216
1746808139521217,30373,15739
1746808139521217,0,4414
1746808139521217,16413,8816
1746808139521217,4,3237
1746808139521217,30414,15779
1746808139521217,0,4501
1746808139521217,16405,8821
1746808139521217,0,3228
1746808139521217,30394,15757
1746808139521217,0,4451
1746808139521217,16422,8823
1746808139521217,0,3250
1746808139521217,30401,15764
1746808139521217,0,4495
1746808139521217,16386,8796
1746808139521217,0,3198
1746808139521217,30416,15777
1746808139521217,0,4491
1746808139521217,16397,8810
1746808139521217,1,3224
1746808139535837,30413,15770
1746808139565029,0,4469
1746808139594221,16412,8813
1746808139623413,0,3242
1746808139652605,30408,15767
1746808139681797,0,4488
1746808139710989,16393,8798
1746808139740181,1,3221
1746808139769373,30388,15750
1746808139798565,0,4450
1746808139827757,16411,8811
1746808139856949,0,3234
1746808139886141,30394,15773
1746808139915333,0,4503
1746808139929929,30430,15811
1746808139929929,0,4537
1746808139929929,16404,8815
1746808139929929,0,3230
1746808139929929,30386,15756
1746808139929929,0,4472
1746808139929929,16395,8810
1746808139929929,3,3228
1746808139929929,30381,15761
1746808139929929,0,4458
1746808139929929,16398,8807
1746808139929929,0,3223
1746808139929929,30404,15763
1746808139929929,0,4485
1746808139934700,16409,8813
1746808139944200,0,3242
1746808139953700,30332,15705
1746808139963200,0,4374
1746808139972700,16408,8804
1746808139982200,0,3227
1746808139991700,30393,15761
1746808140001200,0,4491
1746808140010700,16411,8817
1746808140020200,0,3239
1746808140029700,30467,15827
1746808140039200,0,4590
1746808140048700,16404,8818
1746808140058200,4,3241
1746808140063008,30428,15788
1746808140063078,0,4520
1746808140063148,16420,8828
1746808140063218,3,3252
1746808140063288,30461,15821
1746808140063358,0,4578
1746808140063428,16417,8827
1746808140063498,3,3259
1746808140063568,30377,15744
1746808140063638,0,4441
1746808140063708,16397,8804
1746808140063778,0,3217
1746808140063848,30388,15761
1746808140063918,0,4467
