Timestamp,Combined Value1,Combined Value2,Combined Value3,Combined Value4
1742724564758445,422757,0,453935,562
1742724564758445,421938,0,452904,583
1742724564758445,420317,19,450741,543
1742724564758445,418688,0,447979,531
1742724564758445,417257,0,445219,528
1742724564758445,416761,3,443560,502
1742724564758445,415890,0,441796,551
1742724564759650,414585,0,439633,514
1742724564764414,412735,30,437162,536
1742724564769178,411271,0,434510,513
1742724564773942,409427,0,431734,513
1742724564778706,407446,0,428347,509
1742724564783470,405081,1,424614,498
1742724564788234,403296,0,421412,517
1742724564793843,401799,14,419028,497
1742724564801931,401131,0,418022,494
1742724564810019,399668,0,417013,460
1742724564818107,398406,0,416135,464
1742724564826195,397321,0,415462,488
1742724564834283,397277,0,415996,470
1742724564842371,396804,0,416936,500
1742724564850431,395142,0,416721,478
1742724564858311,392660,14,415520,509
1742724564866191,391593,0,413578,450
1742724564874071,391506,0,413619,502
1742724564881951,391246,0,414431,496
1742724564889831,389868,0,414499,480
1742724564897711,387802,0,412928,467
1742724564905684,385726,0,410183,475
1742724564913856,384285,2,408386,477
1742724564922028,383881,0,407009,466
1742724564930200,384635,0,407115,470
1742724564938372,384715,0,406980,466
1742724564946544,383809,0,405362,458
1742724564954716,383850,0,404003,485
1742724564962674,382777,0,402778,449
1742724564969910,382581,0,402733,443
1742724564977146,382257,0,402465,465
1742724564984382,382506,0,402752,463
1742724564991618,382089,0,402535,435
1742724564998854,381834,0,402299,436
1742724565006090,381848,13,402050,472
1742724565013629,381698,0,401485,454
1742724565022065,380770,0,401012,482
1742724565030501,380100,0,400283,457
1742724565038937,378469,0,398776,444
1742724565047373,377480,9,397682,457
1742724565055809,376701,0,397350,457
1742724565064245,376919,0,398246,456
1742724565072476,377148,0,399022,440
1742724565080076,377895,4,400162,495
1742724565087676,378942,0,400691,447
1742724565095276,379788,1,401403,445
1742724565102876,380045,0,401788,454
1742724565110476,379884,0,401959,429
1742724565118076,379532,8,401705,476
1742724565126036,379538,0,401395,436
1742724565135024,378971,0,401014,465
1742724565144012,378503,0,400132,433
1742724565153000,377333,0,399008,446
1742724565161988,376751,0,398095,455
1742724565170976,376038,0,397429,454
1742724565179964,375515,0,397070,477
1742724565188459,376275,7,398338,444
1742724565195471,377806,0,399777,447
1742724565202483,378974,0,400845,470
1742724565209495,379180,0,401354,443
1742724565216507,379461,0,401533,456
1742724565223519,379726,0,401907,457
1742724565230531,379801,0,401857,510
1742724565237586,379664,0,401868,470
