Register_0x64,Register_0x65,Register_0x66,Register_0x67,Register_0x68,Register_0x69,Register_0x70,Register_0x71
9745,3580,1325,1649,9798,3608,19490,7160
9745,3580,1325,1649,9798,3617,19170,6929
9585,3464,1154,840,9749,3617,19170,6929
9585,3464,1154,840,9749,3617,19170,6929
9585,3464,1154,840,9749,3617,19170,6956
9458,3478,1459,2495,9336,3363,18917,6956
9458,3478,1459,2495,9336,3363,18917,6956
9458,3478,1459,2495,9336,3363,18917,6956
9094,3246,945,126,9395,3500,18188,6493
9094,3246,945,126,9395,3500,18188,6493
9094,3246,945,126,9395,3500,18188,6493
9094,3246,1396,2660,9306,3446,18430,6757
9215,3378,1396,2660,9306,3446,18430,6757
9215,3378,1396,2660,9306,3446,18430,6757
9215,3378,1396,2660,9306,3352,18289,6713
9144,3356,1342,3351,9171,3352,18289,6713
9144,3356,1342,3351,9171,3352,18289,6713
9144,3356,1342,3351,9171,3352,18493,6821
9246,3410,1412,1951,9251,3413,18493,6821
9246,3410,1412,1951,9251,3413,18493,6821
9246,3410,1412,1951,9251,3413,18493,6821
9179,3363,1407,3230,9203,3380,18359,6727
9179,3363,1407,3230,9203,3380,18359,6727
9179,3363,1407,3230,9203,3380,18359,6727
9179,3364,1305,1873,9198,3372,18351,6729
9175,3364,1305,1873,9198,3372,18351,6729
9175,3364,1305,1873,9198,3372,18351,6729
9175,3364,1305,2387,9205,3366,18328,6677
9164,3338,1217,2387,9205,3366,18328,6677
9164,3338,1217,2387,9205,3366,18328,6677
9164,3338,1217,2387,9205,3340,18570,6872
9285,3436,1495,2856,9179,3340,18570,6872
9285,3436,1495,2856,9179,3340,18570,6872
9285,3436,1495,2856,9179,3340,18570,6875
9303,3437,1403,6221,9297,3416,18606,6875
9303,3437,1403,6221,9297,3416,18606,6875
9303,3437,1403,6221,9297,3416,18606,6875
9290,3413,1409,3166,9371,3483,18580,6826
9290,3413,1409,3166,9371,3483,18580,6826
9290,3413,1409,3166,9371,3483,18580,6826
9290,3413,1424,1957,9409,3488,18706,6916
9353,3458,1424,1957,9409,3488,18706,6916
9353,3458,1424,1957,9409,3488,18706,6916
9353,3458,1424,1957,9294,3400,18592,6825
9296,3412,1330,1387,9294,3400,18592,6825
9296,3412,1330,1387,9294,3400,18592,6825
9296,3412,1330,1387,9294,3400,18621,6789
9310,3394,1270,2408,9284,3363,18621,6789
9310,3394,1270,2408,9284,3363,18621,6789
9310,3394,1270,2408,9284,3363,18621,6789
9383,3454,1419,3443,9418,3480,18766,6908
9383,3454,1419,3443,9418,3480,18766,6908
9383,3454,1419,3443,9418,3480,18766,6908
